Site,Plot_name,Date,Longitude,Latitude,Plot_size,Limpet_No,SL,Prox,Notes
Christy_Beach,CB_OL_1,2023-05-24,,,5,1,2.7,15.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,2,3,15.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,3,2.9,28.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,4,2.7,28.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,5,2.9,28.6,
Christy_Beach,CB_OL_1,2023-05-24,,,5,6,2.4,16.4,
Christy_Beach,CB_OL_1,2023-05-24,,,5,7,3.4,37.5,
Christy_Beach,CB_OL_1,2023-05-24,,,5,8,2.6,29.8,
Christy_Beach,CB_OL_1,2023-05-24,,,5,9,3.5,37.9,
Christy_Beach,CB_OL_1,2023-05-24,,,5,10,1.9,22.5,
Christy_Beach,CB_OL_1,2023-05-24,,,5,11,2.2,2.5,
Christy_Beach,CB_OL_1,2023-05-24,,,5,12,2.9,9.8,
Christy_Beach,CB_OL_1,2023-05-24,,,5,13,2.8,18.9,
Christy_Beach,CB_OL_1,2023-05-24,,,5,14,3,13.6,
Christy_Beach,CB_OL_1,2023-05-24,,,5,15,2.4,25.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,16,2.2,26.4,
Christy_Beach,CB_OL_1,2023-05-24,,,5,17,1.9,20.3,
Christy_Beach,CB_OL_1,2023-05-24,,,5,18,2.5,13.5,
Christy_Beach,CB_OL_1,2023-05-24,,,5,19,2.6,13.5,
Christy_Beach,CB_OL_1,2023-05-24,,,5,20,1.9,25.1,
Christy_Beach,CB_OL_1,2023-05-24,,,5,21,2.4,33.8,
Christy_Beach,CB_OL_1,2023-05-24,,,5,22,3.1,16.9,
Christy_Beach,CB_OL_1,2023-05-24,,,5,23,3.2,13.6,
Christy_Beach,CB_OL_1,2023-05-24,,,5,24,2.4,13.6,
Christy_Beach,CB_OL_1,2023-05-24,,,5,25,2.5,6.6,
Christy_Beach,CB_OL_1,2023-05-24,,,5,26,4,6.6,
Christy_Beach,CB_OL_1,2023-05-24,,,5,27,4.2,19.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,28,3,72.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,29,2.8,70.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,30,3.2,52.4,
Christy_Beach,CB_OL_1,2023-05-24,,,5,31,23,42.7,
Christy_Beach,CB_OL_1,2023-05-24,,,5,32,2.2,38.9,
Christy_Beach,CB_OL_1,2023-05-24,,,5,33,2,15.6,
Christy_Beach,CB_OL_1,2023-05-24,,,5,34,2.7,16.4,
Christy_Beach,CB_OL_1,2023-05-24,,,5,35,3.8,16,
Christy_Beach,CB_OL_1,2023-05-24,,,5,36,3,10.9,
Christy_Beach,CB_OL_1,2023-05-24,,,5,37,2.7,10.9,
Christy_Beach,CB_OL_1,2023-05-24,,,5,38,3.8,20.3,
Christy_Beach,CB_OL_1,2023-05-24,,,5,39,2.2,3.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,40,1.9,3.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,41,2.9,8.7,
Christy_Beach,CB_OL_1,2023-05-24,,,5,42,2.2,8.7,
Christy_Beach,CB_OL_1,2023-05-24,,,5,43,2.2,14.5,
Christy_Beach,CB_OL_1,2023-05-24,,,5,44,2.5,19.3,
Christy_Beach,CB_OL_1,2023-05-24,,,5,45,2.2,2.8,
Christy_Beach,CB_OL_1,2023-05-24,,,5,46,2.8,2.8,
Christy_Beach,CB_OL_1,2023-05-24,,,5,47,2.5,24.3,
Christy_Beach,CB_OL_2,2023-05-24,,,5,48,4.2,76.9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,49,4,76.9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,50,5.5,10.9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,51,4.6,10.9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,52,3.8,28.1,
Christy_Beach,CB_OL_2,2023-05-24,,,5,53,4.4,41.6,
Christy_Beach,CB_OL_2,2023-05-24,,,5,54,3.2,21.6,
Christy_Beach,CB_OL_2,2023-05-24,,,5,55,4.8,12.1,
Christy_Beach,CB_OL_2,2023-05-24,,,5,56,3.8,12.1,
Christy_Beach,CB_OL_2,2023-05-24,,,5,57,4.9,28.2,
Christy_Beach,CB_OL_2,2023-05-24,,,5,58,5,28.2,
Christy_Beach,CB_OL_2,2023-05-24,,,5,59,3.6,12.5,
Christy_Beach,CB_OL_2,2023-05-24,,,5,60,3.5,16.9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,61,4.8,12.7,
Christy_Beach,CB_OL_2,2023-05-24,,,5,62,4.5,18.4,
Christy_Beach,CB_OL_2,2023-05-24,,,5,63,4.4,6.5,
Christy_Beach,CB_OL_2,2023-05-24,,,5,64,3.7,4.5,
Christy_Beach,CB_OL_2,2023-05-24,,,5,65,5.4,11.3,
Christy_Beach,CB_OL_2,2023-05-24,,,5,66,4.5,16.1,
Christy_Beach,CB_OL_2,2023-05-24,,,5,67,4.7,16.1,
Christy_Beach,CB_OL_2,2023-05-24,,,5,68,5.5,20,
Christy_Beach,CB_OL_2,2023-05-24,,,5,69,3.4,15.5,
Christy_Beach,CB_OL_2,2023-05-24,,,5,70,5,14.5,
Christy_Beach,CB_OL_2,2023-05-24,,,5,71,2.9,9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,72,2.6,9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,73,2.6,1.5,
Christy_Beach,CB_OL_2,2023-05-24,,,5,74,2,1.5,
Christy_Beach,CB_OL_2,2023-05-24,,,5,75,4.2,13.2,
Christy_Beach,CB_OL_2,2023-05-24,,,5,76,2.7,13.2,
Christy_Beach,CB_OL_2,2023-05-24,,,5,77,4,18.6,
Christy_Beach,CB_OL_2,2023-05-24,,,5,78,2.7,18.6,
Christy_Beach,CB_OL_2,2023-05-24,,,5,79,3.8,6.3,
Christy_Beach,CB_OL_2,2023-05-24,,,5,80,4.3,13.3,
Christy_Beach,CB_OL_2,2023-05-24,,,5,81,4.4,13.3,
Christy_Beach,CB_OL_2,2023-05-24,,,5,82,3.9,14.7,
Christy_Beach,CB_OL_2,2023-05-24,,,5,83,3.3,14.7,
Christy_Beach,CB_OL_2,2023-05-24,,,5,84,4.1,NA,
Christy_Beach,CB_OL_2,2023-05-24,,,5,85,3.7,19.9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,86,2.4,19.9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,87,3.4,36,
Christy_Beach,CB_OL_2,2023-05-24,,,5,88,4,13.2,
Christy_Beach,CB_OL_2,2023-05-24,,,5,89,3.8,13.2,
Christy_Beach,CB_OL_2,2023-05-24,,,5,90,3.1,18.9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,91,2.4,19.6,
Christy_Beach,CB_OL_2,2023-05-24,,,5,92,3.8,18.7,
Christy_Beach,CB_OL_2,2023-05-24,,,5,93,3.3,34.4,
Christy_Beach,CB_OL_2,2023-05-24,,,5,94,2.9,29.5,
Christy_Beach,CB_OL_2,2023-05-24,,,5,95,4.9,29.5,
Christy_Beach,CB_OL_2,2023-05-24,,,5,96,3.3,6.3,
Christy_Beach,CB_OL_2,2023-05-24,,,5,97,3.6,34.4,
Christy_Beach,CB_OL_2,2023-05-24,,,5,98,2.5,32.1,
Christy_Beach,CB_OL_3,2023-05-24,,,5,99,3.3,37.6,
Christy_Beach,CB_OL_3,2023-05-24,,,5,100,4.5,14.1,
Christy_Beach,CB_OL_3,2023-05-24,,,5,101,2.4,8.8,
Christy_Beach,CB_OL_3,2023-05-24,,,5,102,4.2,89.9,
Christy_Beach,CB_OL_3,2023-05-24,,,5,103,3.3,9.8,
Christy_Beach,CB_OL_3,2023-05-24,,,5,104,4.4,7.2,
Christy_Beach,CB_OL_3,2023-05-24,,,5,105,2.6,7.2,
Christy_Beach,CB_OL_3,2023-05-24,,,5,106,5.2,9.1,
Christy_Beach,CB_OL_3,2023-05-24,,,5,107,3.6,15.7,
Christy_Beach,CB_OL_3,2023-05-24,,,5,108,3.4,5.9,
Christy_Beach,CB_OL_3,2023-05-24,,,5,109,4,8.5,
Christy_Beach,CB_OL_3,2023-05-24,,,5,110,3.7,17.3,
Christy_Beach,CB_OL_3,2023-05-24,,,5,111,4.1,37.3,
Christy_Beach,CB_OL_3,2023-05-24,,,5,112,3.4,36.8,
Christy_Beach,CB_OL_3,2023-05-24,,,5,113,3.6,0.1,
Christy_Beach,CB_OL_3,2023-05-24,,,5,114,3.2,0.1,
Christy_Beach,CB_OL_3,2023-05-24,,,5,115,5.3,36.7,
Christy_Beach,CB_OL_3,2023-05-24,,,5,116,2.7,5.2,
Christy_Beach,CB_OL_3,2023-05-24,,,5,117,2.2,5.2,
Christy_Beach,CB_OL_3,2023-05-24,,,5,118,4.4,15.4,
Christy_Beach,CB_OL_3,2023-05-24,,,5,119,3.6,7.1,
Christy_Beach,CB_OL_3,2023-05-24,,,5,120,3.3,15.7,
Christy_Beach,CB_OL_3,2023-05-24,,,5,121,4.4,10.6,
Christy_Beach,CB_OL_3,2023-05-24,,,5,122,4,24.3,
Christy_Beach,CB_OL_3,2023-05-24,,,5,123,3.9,7.1,
Christy_Beach,CB_OL_3,2023-05-24,,,5,124,4.1,16.8,
Christy_Beach,CB_OL_3,2023-05-24,,,5,125,2.6,19.9,
Christy_Beach,CB_OL_3,2023-05-24,,,5,126,4.2,23.1,
Christy_Beach,CB_OL_4,2023-05-24,,,5,127,3.2,20.1,
Christy_Beach,CB_OL_4,2023-05-24,,,5,128,3.6,22.2,
Christy_Beach,CB_OL_4,2023-05-24,,,5,129,3.6,42.9,
Christy_Beach,CB_OL_4,2023-05-24,,,5,130,3.7,21.7,
Christy_Beach,CB_OL_4,2023-05-24,,,5,131,3.3,42.6,
Christy_Beach,CB_OL_4,2023-05-24,,,5,132,2.4,2.5,
Christy_Beach,CB_OL_4,2023-05-24,,,5,133,2.5,2.5,
Christy_Beach,CB_OL_4,2023-05-24,,,5,134,3.4,12.2,
Christy_Beach,CB_OL_4,2023-05-24,,,5,135,3.4,54.2,
Christy_Beach,CB_OL_4,2023-05-24,,,5,136,4,24.5,
Christy_Beach,CB_OL_4,2023-05-24,,,5,137,4.1,8.5,
Christy_Beach,CB_OL_4,2023-05-24,,,5,138,3.2,11.1,
Christy_Beach,CB_OL_4,2023-05-24,,,5,139,2.6,11.1,
Christy_Beach,CB_OL_4,2023-05-24,,,5,140,3,14.5,
Christy_Beach,CB_OL_4,2023-05-24,,,5,141,2.8,28.6,
Christy_Beach,CB_OL_4,2023-05-24,,,5,142,3.6,28.6,
Christy_Beach,CB_OL_4,2023-05-24,,,5,143,4.2,14.2,
Christy_Beach,CB_OL_4,2023-05-24,,,5,144,4.1,67.8,
Christy_Beach,CB_OL_4,2023-05-24,,,5,145,3.4,17.2,
Christy_Beach,CB_OL_4,2023-05-24,,,5,146,3.7,24.5,
