Date,Transect,Plot_Name,L_R,Meter_no,COL_pres,T_F,Tag_ID,A_elegantissima,Phragmatopoma_californica,Chtalmus_Balanus,Bare_rock,Ralfsia_sp,Coralline_crust,Endocaldia_sp,P_polymerus,Ulva_sp
09_2023,CNM_1,CNM_1_E_1,L,1,Y,TRUE,0,0,0,2,10,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_1,R,1,N,FALSE,0,0,0,1,12,0,0,0,0,0
09_2023,CNM_1,CNM_1_E_2,R,2,Y,TRUE,D002,0,0,5,5,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_2,L,2,N,FALSE,0,0,0,1,10,0,0,0,0,0
09_2023,CNM_1,CNM_1_E_3,L,3,Y,TRUE,0,0,0,1,10,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_3,R,3,N,FALSE,0,0,0,2,10,0,0,0,0,0
09_2023,CNM_1,CNM_1_E_4,R,4,Y,TRUE,D003,0,0,3,6,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_4,L,4,N,FALSE,0,0,0,3,9,0,0,0,0,0
09_2023,CNM_1,CNM_1_E_5,L,5,Y,TRUE,0,0,0,1,9,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_5,R,5,N,FALSE,0,0,0,1,11,0,0,0,0,0
09_2023,CNM_1,CNM_1_E_6,R,6,Y,TRUE,D003,0,0,3,9,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_6,L,6,N,FALSE,0,0,0,2,7,1,0,0,0,0
09_2023,CNM_1,CNM_1_E_7,L,8,Y,TRUE,D035,0,0,0,12,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_7,R,8,N,FALSE,0,0,0,9,1,0,0,0,0,0
09_2023,CNM_1,CNM_1_E_8,L,10,Y,TRUE,D005,0,0,5,5,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_8,R,10,N,FALSE,0,0,0,1,11,0,0,0,0,0
09_2023,CNM_2,CNM_2_E_1,R,2,Y,TRUE,D023,0,0,0,0,9,0,0,2,0
09_2023,CNM_2,CNM_2_C_1,L,2,N,FALSE,0,0,0,4,10,0,0,0,0,0
09_2023,CNM_2,CNM_2_E_2,R,4,Y,TRUE,D024,0,0,0,11,4,0,0,0,0
09_2023,CNM_2,CNM_2_C_2,L,4,N,FALSE,0,0,0,3,7,0,0,0,0,0
09_2023,CNM_2,CNM_2_E_3,R,5,Y,TRUE,0,0,0,2,8,0,0,0,0,0
09_2023,CNM_2,CNM_2_C_3,L,5,N,FALSE,0,0,0,6,2,0,0,0,0,0
09_2023,CNM_2,CNM_2_E_4,L,6,Y,TRUE,D027,0,0,2,6,4,0,0,0,0
09_2023,CNM_2,CNM_2_C_4,R,6,N,FALSE,0,0,0,0,8,3,0,0,0,0
09_2023,CNM_2,CNM_2_E_5,R,8,Y,TRUE,D025,0,0,10,1,0,0,0,0,0
09_2023,CNM_2,CNM_2_C_5,L,8,N,FALSE,0,0,0,0,8,3,0,0,0,0
09_2023,CNM_2,CNM_2_E_6,R,9,Y,TRUE,0,0,0,2,11,0,0,0,0,0
09_2023,CNM_2,CNM_2_C_6,L,9,N,FALSE,0,0,0,0,11,0,0,0,0,0
09_2023,CNM_2,CNM_2_E_7,R,10,Y,TRUE,D026,0,0,2,6,0,0,0,0,0
09_2023,CNM_2,CNM_2_C_7,L,10,N,FALSE,0,0,0,3,9,0,0,0,0,0
09_2023,CNM_3,CNM_2_E_1,R,0,Y,TRUE,D062,0,0,14,0,0,0,0,0,0
09_2023,CNM_3,CNM_3_C_1,L,0,N,FALSE,0,0,0,0,12,0,0,0,0,0
09_2023,CNM_3,CNM_3_E_2,R,1,Y,TRUE,D086,0,0,1,10,0,0,0,0,0
09_2023,CNM_3,CNM_3_C_2,L,1,N,FALSE,0,0,0,1,11,0,0,0,0,0
09_2023,CNM_3,CNM_3_E_3,R,2,Y,TRUE,0,0,0,1,11,0,0,0,0,0
09_2023,CNM_3,CNM_3_C_3,L,2,N,FALSE,0,0,0,5,6,0,0,0,0,0
09_2023,CNM_3,CNM_3_E_4,L,3,Y,TRUE,D061,0,0,5,6,0,0,0,0,0
09_2023,CNM_3,CNM_3_C_4,R,3,N,FALSE,0,0,0,2,10,0,0,0,0,0
09_2023,CNM_3,CNM_3_E_5,L,5,Y,TRUE,D059,0,0,2,12,0,0,0,0,0
09_2023,CNM_3,CNM_3_C_5,R,5,N,FALSE,0,0,0,2,11,0,0,0,0,0
09_2023,CNM_3,CNM_3_E_6,L,6,Y,TRUE,D044,0,0,2,10,0,0,0,0,0
09_2023,CNM_3,CNM_3_C_6,R,6,N,FALSE,0,0,0,0,13,0,0,0,0,0
09_2023,CNM_3,CNM_3_E_7,L,9,Y,TRUE,D045,0,0,4,6,0,0,0,0,0
09_2023,CNM_4,CNM_4_E_1,R,0,Y,TRUE,0,0,0,3,2,1,0,0,0,0
09_2023,CNM_4,CNM_4_C_1,L,0,N,FALSE,0,0,0,2,10,0,0,0,0,0
09_2023,CNM_4,CNM_4_E_2,R,2,Y,TRUE,0,0,0,0,11,0,0,0,0,0
09_2023,CNM_4,CNM_4_C_2,L,2,N,FALSE,0,0,0,4,8,0,0,0,0,0
09_2023,CNM_4,CNM_4_E_3,R,4,Y,TRUE,0,0,0,0,10,1,0,0,0,0
09_2023,CNM_4,CNM_4_C_3,L,4,N,FALSE,0,0,0,3,8,0,0,0,0,0
09_2023,CNM_4,CNM_4_E_4,R,5,Y,TRUE,D073,0,0,2,8,0,0,0,0,0
09_2023,CNM_4,CNM_4_C_4,L,5,N,FALSE,0,0,0,12,1,0,0,0,0,0
09_2023,CNM_4,CNM_4_E_5,L,6,Y,TRUE,D088,0,0,2,10,0,0,0,0,0
09_2023,CNM_4,CNM_4_C_5,R,6,N,FALSE,0,0,0,6,4,0,0,0,0,0
09_2023,CNM_4,CNM_4_E_6,L,7,Y,TRUE,D068,0,0,0,11,0,0,0,0,0
09_2023,CNM_4,CNM_4_C_6,R,7,N,FALSE,0,0,0,4,7,0,0,0,0,0
09_2023,CNM_4,CNM_4_E_7,R,10,Y,TRUE,D109,0,0,5,8,0,0,0,0,0
09_2023,CNM_4,CNM_4_C_7,L,10,N,FALSE,0,0,0,1,10,0,0,0,0,0
09_2023,CNM_5,CNM_5_E_1,R,0,Y,TRUE,D133,0,0,0,10,4,0,0,0,0
09_2023,CNM_5,CNM_5_C_1,L,0,N,FALSE,0,0,0,1,10,0,0,0,0,0
09_2023,CNM_5,CNM_5_E_2,L,2,Y,TRUE,0,0,0,4,4,2,0,0,0,0
09_2023,CNM_5,CNM_5_C_2,R,2,N,FALSE,0,0,0,3,8,0,0,0,0,0
09_2023,CNM_5,CNM_5_E_3,R,6,Y,TRUE,0,0,0,5,5,0,0,0,0,0
09_2023,CNM_5,CNM_5_C_3,L,6,N,FALSE,0,0,0,8,3,0,0,0,0,0
09_2023,CNM_5,CNM_5_E_4,R,8,Y,TRUE,0,0,0,6,3,0,0,0,0,2
09_2023,CNM_5,CNM_5_C_4,L,8,N,FALSE,0,0,0,1,11,0,0,0,0,0
09_2023,CNM_6,CNM_6_E_1,L,5,Y,TRUE,D141,0,0,0,9,2,0,0,0,0
09_2023,CNM_6,CNM_6_C_1,R,5,N,FALSE,0,0,0,10,2,0,0,0,0,0
09_2023,CNM_6,CNM_6_E_2,L,8,Y,TRUE,D147,0,0,0,6,3,0,0,0,0
09_2023,CNM_6,CNM_6_C_2,R,8,N,FALSE,0,0,0,9,2,0,0,0,0,0
09_2023,CNM_6,CNM_6_E_3,L,9,Y,TRUE,D154,0,0,9,2,0,0,0,0,0
09_2023,CNM_6,CNM_6_C_3,R,9,N,FALSE,0,1,0,0,5,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_1,R,0,Y,TRUE,0,0,0,3,13,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_1,L,0,N,FALSE,0,0,0,8,8,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_2,L,1,Y,TRUE,D019,0,0,5,11,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_2,R,1,N,FALSE,0,0,0,1,5,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_3,L,3,Y,TRUE,0,0,0,11,7,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_3,R,3,N,FALSE,0,0,0,10,6,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_4,R,4,Y,TRUE,0,0,0,7,9,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_4,L,4,N,FALSE,0,0,0,8,8,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_5,L,8,Y,TRUE,0,0,0,2,14,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_5,R,8,N,FALSE,0,0,0,2,14,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_6,R,9,Y,TRUE,0,0,0,10,6,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_6,L,9,N,FALSE,0,0,0,16,0,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_7,R,10,Y,TRUE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_7,L,10,N,FALSE,0,0,0,4,12,0,0,0,0,0
2024_02,CNM_2,CNM_2_E_1,L,0,Y,TRUE,0,0,0,10,6,0,0,0,0,0
2024_02,CNM_2,CNM_2_C_1,R,0,N,FALSE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_2,CNM_2_E_2,L,1,Y,TRUE,0,0,0,4,12,0,0,0,0,0
2024_02,CNM_2,CNM_2_C_2,R,1,N,FALSE,0,0,0,13,3,0,0,0,0,0
2024_02,CNM_2,CNM_2_E_3,R,4,Y,TRUE,0,0,0,4,12,0,0,0,0,0
2024_02,CNM_2,CNM_2_C_3,L,4,N,FALSE,0,0,0,7,9,0,0,0,0,0
2024_02,CNM_2,CNM_2_E_4,L,5,Y,TRUE,0,0,0,2,14,0,0,0,0,0
2024_02,CNM_2,CNM_2_C_4,R,5,N,FALSE,0,0,0,10,6,0,0,0,0,0
2024_02,CNM_2,CNM_2_E_5,R,6,Y,TRUE,0,0,0,9,9,7,0,0,0,0
2024_02,CNM_2,CNM_2_C_5,L,6,N,FALSE,0,0,0,1,15,0,0,0,0,0
2024_02,CNM_2,CNM_2_E_6,R,8,Y,TRUE,0,0,0,7,8,0,0,0,0,0
2024_02,CNM_2,CNM_2_C_6,L,8,N,FALSE,0,0,0,9,0,7,0,0,0,0
2024_02,CNM_2,CNM_2_E_7,L,10,Y,TRUE,D025,0,0,1,15,0,0,0,0,0
2024_02,CNM_2,CNM_2_C_7,R,10,N,FALSE,0,2,0,4,10,0,0,0,0,0
2024_02,CNM_3,CNM_3_E_1,R,0,Y,TRUE,D062,0,0,5,11,0,0,0,0,0
2024_02,CNM_3,CNM_3_C_1,L,0,N,FALSE,0,0,0,11,5,0,0,0,0,0
2024_02,CNM_3,CNM_3_E_2,L,2,Y,TRUE,0,0,0,5,11,0,0,0,0,0
2024_02,CNM_3,CNM_3_C_2,R,2,N,FALSE,0,0,0,1,11,4,0,0,0,0
2024_02,CNM_3,CNM_3_E_3,R,4,Y,TRUE,0,1,0,1,14,0,0,0,0,0
2024_02,CNM_3,CNM_3_C_3,L,4,N,FALSE,0,0,0,11,5,0,0,0,0,0
2024_02,CNM_3,CNM_3_E_4,R,5,Y,TRUE,0,0,0,4,12,0,0,0,0,0
2024_02,CNM_3,CNM_3_C_4,L,5,N,FALSE,0,0,0,7,9,0,0,0,0,0
2024_02,CNM_3,CNM_3_E_5,R,6,Y,TRUE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_3,CNM_3_C_5,L,6,N,FALSE,0,0,0,9,7,0,0,0,0,0
2024_02,CNM_3,CNM_3_E_6,R,7,Y,TRUE,D047,0,0,6,10,0,0,0,0,0
2024_02,CNM_3,CNM_3_C_6,L,7,N,FALSE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_3,CNM_3_E_7,L,9,Y,TRUE,0,0,0,9,7,0,0,0,0,0
2024_02,CNM_3,CNM_3_C_7,R,9,N,FALSE,0,0,0,4,12,0,0,0,0,0
2024_02,CNM_4,CNM_4_E_1,R,1,Y,TRUE,D093,0,0,1,15,0,0,0,0,0
2024_02,CNM_4,CNM_4_C_1,L,1,N,FALSE,0,0,0,7,9,0,0,0,0,0
2024_02,CNM_4,CNM_4_E_2,R,2,Y,TRUE,0,0,0,6,10,0,0,0,0,0
2024_02,CNM_4,CNM_4_C_2,L,2,N,FALSE,0,0,0,0,8,8,0,0,0,0
2024_02,CNM_4,CNM_4_E_3,R,4,Y,TRUE,0,0,0,2,14,0,0,0,0,0
2024_02,CNM_4,CNM_4_C_3,L,4,N,FALSE,0,0,0,5,11,0,0,0,0,0
2024_02,CNM_4,CNM_4_E_4,L,6,Y,TRUE,0,0,0,14,2,0,0,0,0,0
2024_02,CNM_4,CNM_4_C_4,R,6,N,FALSE,0,0,0,4,12,0,0,0,0,0
2024_02,CNM_4,CNM_4_E_5,L,7,Y,TRUE,D111,0,0,10,6,0,0,0,0,0
2024_02,CNM_4,CNM_4_C_5,R,7,N,FALSE,0,0,0,8,8,0,0,0,0,0
2024_02,CNM_4,CNM_4_E_6,R,8,Y,TRUE,0,0,0,6,10,0,0,0,0,0
2024_02,CNM_4,CNM_4_C_6,L,8,N,FALSE,0,0,0,3,13,0,0,0,0,0
2024_02,CNM_4,CNM_4_E_7,L,10,Y,TRUE,0,0,0,2,14,0,0,0,0,0
2024_02,CNM_4,CNM_4_C_7,R,10,N,FALSE,0,0,0,5,11,0,0,0,0,0
2024_02,CNM_5,CNM_5_E_1,R,1,Y,TRUE,0,0,0,5,11,0,0,0,0,0
2024_02,CNM_5,CNM_5_C_1,L,1,N,FALSE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_5,CNM_5_E_2,R,2,Y,TRUE,0,0,0,0,14,2,0,0,0,0
2024_02,CNM_5,CNM_5_C_2,L,2,N,FALSE,0,0,0,15,2,0,0,0,0,0
2024_02,CNM_5,CNM_5_E_3,R,4,Y,TRUE,0,0,0,3,11,2,0,0,0,0
2024_02,CNM_5,CNM_5_C_3,L,4,Y,FALSE,0,0,0,2,14,0,0,0,0,0
2024_02,CNM_5,CNM_5_E_4,L,5,Y,TRUE,0,0,0,13,3,0,0,0,0,0
2024_02,CNM_5,CNM_5_C_4,R,5,N,FALSE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_5,CNM_5_E_5,L,6,Y,TRUE,D132,0,0,13,3,0,0,0,0,0
2024_02,CNM_5,CNM_5_C_5,R,6,N,FALSE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_5,CNM_5_E_6,R,8,Y,TRUE,0,0,0,11,5,0,0,0,0,0
2024_02,CNM_5,CNM_5_C_6,L,8,N,FALSE,0,0,0,0,15,1,0,0,0,0
2024_02,CNM_5,CNM_5_E_7,R,10,Y,TRUE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_5,CNM_5_C_7,L,10,N,FALSE,0,0,0,1,15,0,0,0,0,0
2024_02,CNM_6,CNM_6_E_1,L,0,Y,TRUE,0,0,0,0,10,6,0,0,0,0
2024_02,CNM_6,CNM_6_C_1,R,0,N,FALSE,0,0,0,0,12,4,0,0,0,0
2024_02,CNM_6,CNM_6_E_2,L,3,Y,TRUE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_6,CNM_6_C_2,R,3,N,FALSE,0,0,0,0,14,2,0,0,0,0
2024_02,CNM_6,CNM_6_E_3,R,4,Y,TRUE,0,0,0,0,15,1,0,0,0,0
2024_02,CNM_6,CNM_6_C_3,L,4,N,FALSE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_6,CNM_6_E_4,R,5,Y,TRUE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_6,CNM_6_C_4,L,5,N,FALSE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_6,CNM_6_E_5,L,7,Y,TRUE,0,0,0,0,15,1,0,0,0,0
2024_02,CNM_6,CNM_6_C_5,R,7,N,FALSE,0,0,0,0,15,0,1,0,0,0
2024_02,CNM_6,CNM_6_E_6,R,8,Y,TRUE,0,0,0,0,12,2,0,2,0,0
2024_02,CNM_6,CNM_6_C_6,L,8,N,FALSE,0,1,0,0,15,0,0,0,0,0
2024_02,CNM_6,CNM_6_E_7,R,10,Y,TRUE,0,2,0,0,5,9,0,0,0,0
2024_02,CNM_6,CNM_6_C_7,L,10,N,FALSE,0,2,0,0,15,0,0,0,0,0
2024_02,CNM_6,CNM_7_E_1,R,1,Y,TRUE,0,0,0,6,8,2,0,0,0,0
2024_02,CNM_7,CNM_7_C_1,L,1,N,FALSE,0,0,0,7,9,0,0,0,0,0
2024_02,CNM_7,CNM_7_E_2,R,2,Y,TRUE,0,0,4,0,12,0,0,0,0,0
2024_02,CNM_7,CNM_7_C_2,L,2,N,FALSE,0,0,0,10,6,0,0,0,0,0
2024_02,CNM_7,CNM_7_E_3,R,4,Y,TRUE,0,0,0,1,15,0,0,0,0,0
2024_02,CNM_7,CNM_7_C_3,L,4,N,FALSE,0,0,0,0,16,0,0,0,0,0
